a11y-profile-manager-indicator	0.1.11-0ubuntu4
fonts-smc-raghumalayalamsans	2.2.1-1
fonts-smc-suruma	3.2.3-1
fonts-smc-uroob	2.0.2-1
fonts-symbola	2.60-1
fonts-takao-pgothic	00303.01-3ubuntu1
fonts-taml	2:1.3
fonts-telu	2:1.2
fonts-telu-extra	2.0-4
fonts-thai-tlwg	1:0.7.1-3
fonts-tibetan-machine	1.901b-5
fonts-tlwg-garuda	1:0.7.1-3
fonts-tlwg-garuda-ttf	1:0.7.1-3
fonts-tlwg-kinnari	1:0.7.1-3
fonts-tlwg-kinnari-ttf	1:0.7.1-3
fonts-tlwg-laksaman	1:0.7.1-3
fonts-tlwg-laksaman-ttf	1:0.7.1-3
fonts-tlwg-loma	1:0.7.1-3
fonts-tlwg-loma-ttf	1:0.7.1-3
fonts-tlwg-mono	1:0.7.1-3
fonts-tlwg-mono-ttf	1:0.7.1-3
fonts-tlwg-norasi	1:0.7.1-3
fonts-tlwg-norasi-ttf	1:0.7.1-3
fonts-tlwg-purisa	1:0.7.1-3
fonts-tlwg-purisa-ttf	1:0.7.1-3
fonts-tlwg-sawasdee	1:0.7.1-3
fonts-tlwg-sawasdee-ttf	1:0.7.1-3
fonts-tlwg-typewriter	1:0.7.1-3
fonts-tlwg-typewriter-ttf	1:0.7.1-3
fonts-tlwg-typist	1:0.7.1-3
fonts-tlwg-typist-ttf	1:0.7.1-3
fonts-tlwg-typo	1:0.7.1-3
fonts-tlwg-typo-ttf	1:0.7.1-3
fonts-tlwg-umpush	1:0.7.1-3
fonts-tlwg-umpush-ttf	1:0.7.1-3
fonts-tlwg-waree	1:0.7.1-3
fonts-tlwg-waree-ttf	1:0.7.1-3
fonts-ubuntu	0.83-4ubuntu1
fonts-urw-base35	20170801.1-3
fonts-yrsa-rasa	1.002-2
foomatic-db-compressed-ppds	20200401-1
fprintd	1.90.9-1~ubuntu20.04.1
friendly-recovery	0.2.41ubuntu0.20.04.1
ftp	0.17-34.1
fuse	2.9.9-3
fwupd	1.7.9-1~20.04.3
fwupdate	12-7
fwupd-signed	1.51.1~20.04.1+1.4-0ubuntu0.1
g++	4:9.3.0-1ubuntu2
g++-9	9.4.0-1ubuntu1~20.04.2
gamemode	1.5.1-0ubuntu3.1
gawk	1:5.0.1+dfsg-1ubuntu0.1
gcc-10-base:amd64	10.5.0-1ubuntu1~20.04
gcc	4:9.3.0-1ubuntu2
gcc-7	7.5.0-6ubuntu2
gcc-7-base:amd64	7.5.0-6ubuntu2
gcc-8-base:amd64	8.4.0-3ubuntu2
gcc-9	9.4.0-1ubuntu1~20.04.2
gcc-9-base:amd64	9.4.0-1ubuntu1~20.04.2
gconf2	3.2.6-4ubuntu1
gconf2-common	3.2.6-4ubuntu1
gcr	3.36.0-2build1
gdb	9.2-0ubuntu1~20.04.2
gdbserver	9.2-0ubuntu1~20.04.2
gdisk	1.0.5-1
gdm3	3.36.3-0ubuntu0.20.04.4
gedit	3.36.2-0ubuntu1
gedit-common	3.36.2-0ubuntu1
genisoimage	9:1.1.11-3.1ubuntu1
geoclue-2.0	2.5.6-0ubuntu1
gettext-base	0.19.8.1-10build1
